id,name,severity,category,status,owner,timestamp,due_date
RISK-001,WEAK PASSWORD POLICY,9,Authentication,OPEN,Security Team,2026-05-15 10:30:00,2026-06-01
RISK-002,OUTDATED FIREWALL FIRMWARE,8,Network,IN PROGRESS,Network Operations,2026-05-15 11:15:00,2026-06-05
RISK-003,NO MFA FOR VPN,10,Authentication,OPEN,Security Team,2026-05-16 08:45:00,2026-05-30
RISK-004,PHISHING CAMPAIGN EXPOSURE,9,Security Awareness,OPEN,Security Team,2026-05-17 09:10:00,2026-06-10
RISK-005,EXPOSED RDP PORT,9,Network,IN PROGRESS,Network Operations,2026-05-18 16:05:00,2026-05-28
RISK-006,UNENCRYPTED LAPTOP,8,Endpoint Security,OPEN,Help Desk,2026-05-19 12:40:00,2026-06-12
RISK-007,SHARED ADMIN ACCOUNT,9,Authentication,OPEN,Security Team,2026-05-20 09:22:00,2026-05-29
RISK-008,EXPOSED DATABASE PORT,9,Infrastructure,OPEN,Infrastructure Team,2026-05-20 14:05:00,2026-05-27
RISK-009,INSECURE API ENDPOINT,8,Infrastructure,OPEN,Infrastructure Team,2026-05-21 08:20:00,2026-06-08
RISK-010,LEGACY VPN APPLIANCE,8,Network,IN PROGRESS,Network Operations,2026-05-21 11:15:00,2026-06-15
RISK-011,MISSING ENDPOINT MONITORING,7,Endpoint Security,OPEN,Security Team,2026-05-21 15:30:00,2026-06-20
RISK-012,UNAUTHORIZED CLOUD STORAGE,8,Data Protection,OPEN,Compliance Team,2026-05-21 18:45:00,2026-06-18
RISK-013,UNSUPPORTED OPERATING SYSTEM,9,Infrastructure,IN PROGRESS,Infrastructure Team,2026-05-21 20:10:00,2026-06-15
RISK-014,EXPOSED TEST ENVIRONMENT,8,Infrastructure,OPEN,Infrastructure Team,2026-05-21 22:29:22,2026-06-22
RISK-015,INSECURE SERVICE ACCOUNT,8,Authentication,OPEN,Security Team,2026-05-21 22:38:39,2026-06-25
RISK-016,WEAK ENCRYPTION SETTING,8,Infrastructure,OPEN,Infrastructure Team,2026-05-21 22:44:39,2026-06-28
RISK-017,EXPIRED SSL CERTIFICATE,7,Infrastructure,OPEN,Infrastructure Team,2026-05-21 22:55:00,2026-05-25
RISK-018,UNMANAGED LOCAL ADMIN ACCOUNT,9,Authentication,OPEN,Security Team,2026-05-21 23:05:01,2026-05-28
RISK-019,EXPOSED BACKUP SHARE,8,Backup and Recovery,OPEN,Infrastructure Team,2026-05-21 23:23:52,2026-05-26
RISK-020,FAILED BACKUP VALIDATION,8,Backup and Recovery,OPEN,Infrastructure Team,2026-05-21 23:31:01,2026-05-26
RISK-021,DISABLED EDR AGENT,9,Endpoint Security,OPEN,Security Team,2026-05-22 07:45:00,2026-05-24
RISK-022,OPEN S3 STORAGE BUCKET,10,Cloud Security,OPEN,Cloud Operations,2026-05-22 08:15:00,2026-05-23
RISK-023,PRIVILEGE ESCALATION FINDING,9,Infrastructure,IN PROGRESS,Infrastructure Team,2026-05-22 09:45:00,2026-05-27
RISK-024,CRITICAL SIEM ALERTS UNREVIEWED,8,Security Operations,OPEN,SOC Analyst,2026-05-22 10:20:00,2026-05-23
RISK-025,FAILED DISASTER RECOVERY TEST,9,Backup and Recovery,OPEN,Infrastructure Team,2026-05-22 11:00:00,2026-06-07
RISK-026,UNPATCHED DOMAIN CONTROLLER,10,Infrastructure,OPEN,Infrastructure Team,2026-05-22 12:05:00,2026-05-24
RISK-027,EXCESSIVE USER PRIVILEGES,7,User Access,MITIGATED,Identity Team,2026-05-22 12:45:00,2026-06-03
RISK-028,SHADOW IT APPLICATION DISCOVERED,6,Governance,OPEN,Compliance Team,2026-05-22 13:10:00,2026-06-14
RISK-029,UNRESTRICTED USB STORAGE,7,Endpoint Security,OPEN,Help Desk,2026-05-22 14:30:00,2026-06-09
RISK-030,SUSPICIOUS POWERSHELL ACTIVITY,9,Security Operations,OPEN,SOC Analyst,2026-05-22 15:20:00,2026-05-23
RISK-031,NO EMAIL DLP CONTROLS,8,Data Protection,OPEN,Compliance Team,2026-05-22 16:10:00,2026-06-18
RISK-032,MISSING LOG RETENTION POLICY,6,Compliance,IN PROGRESS,Compliance Team,2026-05-22 17:05:00,2026-06-21
RISK-033,DEFAULT SWITCH CREDENTIALS,8,Network,OPEN,Network Operations,2026-05-22 18:00:00,2026-05-29
RISK-034,UNUSED ADMIN ACCOUNTS,7,Authentication,CLOSED,Security Team,2026-05-22 18:45:00,2026-05-25
RISK-035,FAILED VULNERABILITY SCAN AGENT,6,Security Operations,OPEN,SOC Analyst,2026-05-22 19:10:00,2026-06-11
RISK-036,UNMONITORED PRIVILEGED ACCESS,9,Identity and Access,OPEN,Identity Team,2026-05-22 20:05:00,2026-05-30
RISK-037,NO NETWORK SEGMENTATION,10,Network,OPEN,Network Operations,2026-05-22 21:00:00,2026-06-02
RISK-038,INACTIVE MFA ENROLLMENT,8,Authentication,IN PROGRESS,Security Team,2026-05-22 21:50:00,2026-06-06
RISK-039,OPEN ADMINISTRATIVE SHARE,8,Infrastructure,OPEN,Infrastructure Team,2026-05-22 22:30:00,2026-05-28
RISK-040,FAILED CLOUD COMPLIANCE AUDIT,9,Cloud Security,OPEN,Cloud Operations,2026-05-22 23:15:00,2026-06-05
